X,Y,OBJECTID,Naziv_stajališta,Linije,Opis,Napomena
16.007936,45.8519639990001,629,Jazbina 120 - istok,227,smjer Bliznec,
15.9955370000001,45.8608329990001,630,Jazbina 159 - zapad        ,227,smjer Svetice,
15.9961210000001,45.8603649990001,631,Jazbina 166 - istok       ,227,smjer Bliznec,
16.0156440000001,45.845837999,632,Jazbina 48 - istok         ,227,smjer Bliznec,
16.0169460000001,45.8446119990001,633,Jazbina 48 - zapad         ,227,smjer Svetice,
16.0139340000001,45.8466119990001,634,Jazbina 71 - zapad         ,227,smjer Svetice,
15.9925450000001,45.864478999,635,Jelenčica - istok           ,233,smjer Trg Svetog Šimuna,
15.992511,45.864653999,636,Jelenčica - zapad         ,233,smjer Mihaljevac,
15.9532300000001,45.8237749990001,637,Jelenovac 8  - istok       ,139,smjer Reljkovićeva,
15.9525770000001,45.8297269990001,638,Jelenovac-Šercerova - istok,139,smjer Reljkovićeva,
16.117405999,45.8194329990001,639,Jelkovečka - jug          ,"277,284",smjer Ivanja Reka\Sesvetska Selnica ,
16.120097,45.819509999,640,Jelkovečka - sjever       ,277,smjer Sesvete,
16.1169130000001,45.819558999,641,Jelkovečka - sjever         ,"277,284",smjer Sesvete,
16.114044,45.8128799990001,642,Jelkovec - tržnica - sjever  ,"279,281,282",smjer Glavni kolodvor\Dubec\Sesvete,
16.114747,45.812326999,643,Jelkovec - tržnica - zapad   ,"279,282",smjer Dubec\Sesvete,
16.108864,45.812755999,644,Jelkovec - vrtić - jug     ,"279,282",smjer Dubec\Sesvete,
16.1072820000001,45.8129039990001,645,Jelkovec - vrtić - sjever     ,281,smjer Glavni kolodvor,
16.156554,45.9078259990001,646,Jesenovec - Balšićeva - istok,264,smjer okretište Jesenovec ,
16.156485,45.907744999,647,Jesenovec - Balšićeva - zapad ,264,smjer prema gradu,
16.1521220000001,45.914298999,648,Jesenovečka 29 - istok     ,264,smjer okretište Jesenovec ,
16.1520380000001,45.9142879990001,649,Jesenovečka 29 - zapad    ,264,smjer prema gradu,
16.1458190000001,45.9174419990001,650,Jesenovec - okretište - ulaz\izlaz linija  264,264,okretište Jesenovec,
15.873863,45.7604729990001,651,Ježdovečka - jug         ,"164,168",smjer Savski most,
15.873684,45.7605609990001,652,Ježdovečka - sjever         ,"164,168",smjer Komari\Prečko,
15.839323001,45.7782359990001,653,Ježdovečka 110 - sjever      ,168,smjer Prečko,
15.858148,45.770794999,654,Ježdovečka 16 - jug    ,168,smjer Savski most,
15.857712,45.770969999,655,Ježdovečka 16 - sjever       ,168,smjer Prečko,
15.838877,45.7782329990001,656,Ježdovečka 69 A  - jug   ,168,smjer Savski most,
15.8323149990001,45.782391999,657,Ježdovec-nadvožnjak - jug,168,smjer Savski most,
15.8322189990001,45.7825759990001,658,Ježdovec-nadvožnjak - sjever,168,smjer Prečko,
15.8536710000001,45.772274999,659,Ježdovec-vojarna - jug  ,168,smjer Savski most,
15.853253001,45.772416999,660,Ježdovec-vojarna - sjever   ,168,smjer Prečko,
15.9971780000001,45.826623999,661,Jordanovac - istok          ,202,smjer Kozjak,
15.997717,45.8268839990001,662,Jordanovac - sjever          ,228,smjer Svetice,
15.9970940000001,45.826360999,663,Jordanovac - zapad         ,202,smjer Kvaternikov trg,
15.8698610000001,45.8116859990001,664,Josipa Lončara - jug     ,119,smjer Črnomerec,
15.868777,45.812035999,665,Josipa Lončara - sjever   ,119,smjer Podsused - most,
15.9312160000001,45.8279639990001,666,Josipa Šabana - istok       ,127,smjer Mikulići,
